ID,T1,Year,Haptic Sensations,Correlated User Manipulation,Stimulus,Interfacing method,Ground method,Actuating mechanism,Simple to complex mechanism,web,Meeting name
1,tsai2020elastoscillation,2020,1.3.3 Mass Redistribution/Damped Oscillation,8.0 Shaking,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,Others,https://doi.org/10.1145/3313831.3376408,ACM CHI
2,heo2018thor,2018,Not Specified,Not Specified,2.3 Forces/Constraint Across Joint,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,Others,https://doi.org/10.1145/3173574.3174099,ACM CHI
3,zenner2019drag,2019,1.2.2 Shape&1.3.1 Mass,8.0 Shaking,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,Others,https://doi.org/10.1145/3290605.3300441,ACM CHI
4,shigeyama2019transcalibur,2019,1.2.2 Shape&1.3.1 Mass,4.0 Unsupported Holding,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,Others,https://doi.org/10.1145/3290605.3300241,ACM CHI
5,zenner2017shifty,2017,1.2.2 Shape&1.3.1 Mass,4.0 Unsupported Holding,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://ieeexplore.ieee.org/document/7833030,IEEE Transactions on Visualization and Computer Graphics
6,je2019aero,2019,1.5 Force/Motion,8.0 Shaking,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://doi.org/10.1145/3332165.3347926,ACM UIST
7,pielot2012pocketnavigator,2012,3.0 Abstracted,9.0 Scanning,2.0 Vibration,2.0 Grasped/ fixed gesture,5.0 Ungrounded,4.0 Exsiting Devices,None,https://dl.acm.org/doi/10.1145/2207676.2208728,ACM CHI
8,arora2019virtualbricks,2019,1.2.2 Shape,All,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,1.0 Spatial Distribution,https://doi.org/10.1145/3290605.3300286,ACM CHI
9,arora2019virtualbricks,2019,1.2.2 Shape,All,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,5.0 Modularization,https://doi.org/10.1145/3290605.3300286,ACM CHI
10,arora2019virtualbricks,2019,1.4  Mechanical Mechanisms,All,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,1.0 Spatial Distribution,https://doi.org/10.1145/3290605.3300286,ACM CHI
11,arora2019virtualbricks,2019,1.4  Mechanical Mechanisms,All,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,5.0 Modularization,https://doi.org/10.1145/3290605.3300286,ACM CHI
12,zhu2019haptwist,2019,1.2.2 Shape,All,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,3.0 Passive,None,https://doi.org/10.1145/3290605.3300923,ACM CHI
13,strasnick2018haptic,2018,1.4  Mechanical Mechanisms,6.0 Function Test,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://doi.org/10.1145/3173574.3174218,ACM CHI
