ID,T1,Year,Haptic Sensations,Correlated User Manipulation,Stimulus,Interfacing method,Ground method,Actuating mechanism,Simple to complex mechanism,,,web,Meeting name
1,tsai2020elastoscillation,2020,Mass Redistribution/Damped Oscillation,Shaking,Whole Proximate Object,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,Others,,,https://doi.org/10.1145/3313831.3376408,ACM CHI
2,heo2018thor,2018,Not Specified,Not Specified,Forces/Constraint Across Joint,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,Others,,,https://doi.org/10.1145/3173574.3174099,ACM CHI
3,zenner2019drag,2019,Shape&Mass,Shaking,Whole Proximate Object,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,Others,,,https://doi.org/10.1145/3290605.3300441,ACM CHI
4,shigeyama2019transcalibur,2019,Shape&Mass,Unsupported Holding,Whole Proximate Object,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,Others,,,https://doi.org/10.1145/3290605.3300241,ACM CHI
5,zenner2017shifty,2017,Shape&Mass,Unsupported Holding,Whole Proximate Object,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,Mechanical Mechanism,,,https://ieeexplore.ieee.org/document/7833030,IEEE Transactions on Visualization and Computer Graphics
6,je2019aero,2019,Force/Motion,Shaking,Whole Proximate Object,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,None,,,https://doi.org/10.1145/3332165.3347926,ACM UIST
7,pielot2012pocketnavigator,2012,Abstracted,Scanning,Vibration,Grasped/ fixed gesture,Ungrounded,Exsiting Devices,None,,,https://dl.acm.org/doi/10.1145/2207676.2208728,ACM CHI
8,arora2019virtualbricks,2019,Shape,All,Whole Proximate Object,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,Spatial Distribution,,,https://doi.org/10.1145/3290605.3300286,ACM CHI
8,arora2019virtualbricks,2019,Shape,All,Whole Proximate Object,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,Modularization,,,https://doi.org/10.1145/3290605.3300286,ACM CHI
8,arora2019virtualbricks,2019,Mechanical Mechanisms,All,Whole Proximate Object,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,Spatial Distribution,,,https://doi.org/10.1145/3290605.3300286,ACM CHI
8,arora2019virtualbricks,2019,Mechanical Mechanisms,All,Whole Proximate Object,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,Modularization,,,https://doi.org/10.1145/3290605.3300286,ACM CHI
9,zhu2019haptwist,2019,Shape,All,Whole Proximate Object,Grasped/ fixed gesture,Ungrounded,Passive,None,,,https://doi.org/10.1145/3290605.3300923,ACM CHI
10,strasnick2018haptic,2018,Mechanical Mechanisms,Function Test,Whole Proximate Object,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,Mechanical Mechanism,,,https://doi.org/10.1145/3173574.3174218,ACM CHI
10,strasnick2018haptic,2018,Mechanical Mechanisms,Part Motion Test,Whole Proximate Object,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,Mechanical Mechanism,,,https://doi.org/10.1145/3173574.3174218,ACM CHI
11,yamaoka2013depend,2013,Abstracted,Tool-Mediated,Forces/Constraint Across Joint,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,Mechanical Mechanism,,,https://dl.acm.org/doi/10.1145/2501988.2502017,ACM UIST
12,hu2019pneu,2019,Shape,Enclosure,Whole Proximate Object,Grasped/ fixed gesture,Grounded-On-Different-Body-Part,Off-The-Shelf Components,Modularization,,,https://doi.org/10.1145/3332167.3357107,ACM UIST
13,teng2018pupop,2018,Shape,Enclosure,Whole Proximate Object,Grasped/ fixed gesture,Grounded-On-Different-Body-Part,Off-The-Shelf Components,Modularization,,,https://doi.org/10.1145/3242587.3242628,ACM UIST
14,suzuki2020lifttiles,2020,Shape,Static Contact,Whole Proximate Object,Grasped/ fixed gesture,Grounded-Off-Body,Off-The-Shelf Components,Modularization,,,https://doi.org/10.1145/3374920.3374941,ACM TEI
14,suzuki2020lifttiles,2020,Shape,Static Contact,Whole Proximate Object,Grasped/ fixed gesture,Grounded-Off-Body,Off-The-Shelf Components,Spatial Distribution,,,https://doi.org/10.1145/3374920.3374941,ACM TEI
15,carter2013ultrahaptics,2013,Abstracted,None,Vibration,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,None,,,https://dl.acm.org/doi/10.1145/2501988.2502018,ACM UIST
16,kim2013tactile,2013,Texture,Lateral Motion,Partial Proximate Object,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,None,,,https://dl.acm.org/doi/10.1145/2501988.2502020,ACM UIST
17,sonar2016soft,2015,Not Specified,None,Vibration,Not specified,Not Specified,Off-The-Shelf Components,None,,,https://www.frontiersin.org/article/10.3389/frobt.2015.00038,FRONTIERS IN ROBOTICS AND AI
18,stanley2014d13,2015,Compliance,All,Partial Proximate Object,Encountered/free gesture,Not Specified,Off-The-Shelf Components,Others,,,https://ieeexplore.ieee.org/document/6775542,IEEE Transactions on Haptics
18,stanley2014d13,2015,Shape,All,Partial Proximate Object,Encountered/free gesture,Not Specified,Off-The-Shelf Components,Others,,,https://ieeexplore.ieee.org/document/6775542,IEEE Transactions on Haptics
19,gugenheimer2016gyrovr,2016,Effects,None,Forces/Constraint Across Joint,Worn/ free gesture,Grounded-On-Same-Body-Part,Off-The-Shelf Components,Others,,,https://doi.org/10.1145/2984511.2984535,ACM UIST
20,teng2019aarnio,2019,Effects,None,Forces/Constraint Across Joint,Encountered/free gesture,Ungrounded,Off-The-Shelf Components,Spatial Distribution,,,https://doi.org/10.1145/3290605.3300902,ACM CHI
21,ye2019pull,2019,Effects,None,Forces/Constraint Across Joint,Grasped/ fixed gesture,Grounded-Off-Body,Material,None,,,https://doi.org/10.1145/3332165.3347874,ACM UIST
22,cheng2017mutual,2017,Effects,None,Others,Encountered/free gesture,Grounded-Off-Body,Others,None,,,https://doi.org/10.1145/3126594.3126667,ACM UIST
23,cheng2015turkdeck,2015,All,Static Contact,Whole Proximate Object,Encountered/free gesture,Moving-Off-Body,Others,Movement Platform + Props,,,https://doi.org/10.1145/2807442.2807463,ACM UIST
24,suzuki2020roomshift,2020,All,All,Whole Proximate Object,Encountered/free gesture,Moving-Off-Body,Off-The-Shelf Components,Movement Platform + Props,,,https://doi.org/10.1145/3313831.3376523,ACM CHI
25,kim2013haptic,2013,Mechanical Mechanisms,Tool-Mediated,Vibration,Encountered/free gesture,Ungrounded,Off-The-Shelf Components,None,,,https://dl.acm.org/doi/10.1145/2501988.2502041,ACM UIST
26,whitmire2018haptic,2018,All,Static Contact,Partial Proximate Object,Grasped/ fixed gesture,Ungrounded,Off-The-Shelf Components,Others,,,https://doi.org/10.1145/3173574.3173660,ACM CHI
27,hoppe2018vrhapticdrones,2018,All,Static Contact,Partial Proximate Object,Encountered/free gesture,Moving-Off-Body,Off-The-Shelf Components,None,,,https://doi.org/10.1145/3282894.3282898,ACM MUM
28,araujo2016snake,2016,All,Static Contact,Partial Proximate Object,Encountered/free gesture,Grounded-Off-Body,Off-The-Shelf Components,None,,,https://doi.org/10.1145/2839462.2839484,ACM TEI
29,fang2020wireality,2020,Shape,Static Contact,Forces/Constraint Across Joint,Worn/ free gesture,Grounded-On-Different-Body-Part,Off-The-Shelf Components,String + Brake,,,https://doi.org/10.1145/3313831.3376470,ACM CHI
30,yatani2012spacesense,2012,Abstracted,None,Vibration,Worn/ free gesture,Ungrounded,Off-The-Shelf Components,Spatial Distribution,,,https://dl.acm.org/doi/10.1145/2207676.2207734,ACM CHI
31,rekimoto2014traxion,2013,Abstracted,None,Forces/Constraint Across Joint,Encountered/free gesture,Ungrounded,Material,None,,,https://dl.acm.org/doi/10.1145/2501988.2502044,ACM UIST
32,tsai2019elasticvr,2019,Compliance,Pressure,Forces/Constraint Across Joint,Worn/ free gesture,Grounded-On-Different-Body-Part,Off-The-Shelf Components,String + Brake,,,https://doi.org/10.1145/3290605.3300450,ACM CHI
32,tsai2019elasticvr,2019,Compliance,Pressure,Forces/Constraint Across Joint,Worn/ free gesture,Grounded-On-Different-Body-Part,Off-The-Shelf Components,Elastic Material,,,https://doi.org/10.1145/3290605.3300450,ACM CHI
32,tsai2019elasticvr,2019,Force/Motion,Pressure,Forces/Constraint Across Joint,Worn/ free gesture,Grounded-On-Different-Body-Part,Off-The-Shelf Components,String + Brake,,,https://doi.org/10.1145/3290605.3300450,ACM CHI
